3.153	3.765	w
5.281	6.023	w
9.802	10.292	w
12.404	13.077	w
15.224	15.853	w
17.526	18.224	w
19.647	20.147	w
24.760	25.290	w
30.405	30.941	w
39.149	39.772	w
41.358	41.858	w
46.160	46.763	w
51.510	52.058	w
52.371	52.933	w
55.203	55.811	w
57.876	58.376	w
61.063	61.563	w
67.201	67.772	w
72.024	72.525	w
77.832	78.332	w
80.574	81.074	w
87.819	88.319	w
95.369	95.920	w
98.003	98.485	w
100.954	101.454	w
117.795	118.295	w
119.900	120.427	w
136.518	137.095	w
138.434	138.944	w
142.175	142.717	w
145.946	146.485	w
154.357	154.826	w
156.006	156.597	w
156.965	157.455	w
164.109	164.616	w
170.523	171.082	w
172.601	173.091	w
174.635	175.135	w
182.119	182.619	w
183.168	183.736	w
184.159	184.659	w
192.590	193.083	w
198.410	198.952	w
209.426	209.926	w
223.810	224.378	w
226.169	226.688	w
232.351	232.851	w
240.898	241.437	w
242.483	243.106	w
243.460	243.961	w
251.070	251.633	w
256.780	257.391	w
261.310	261.823	w
261.823	262.323	w
276.650	277.221	w
277.734	278.444	w
282.913	283.481	w
284.171	284.693	w
284.846	285.365	w
287.330	287.840	w
290.640	291.112	w
293.639	294.231	w
298.587	299.103	w
313.808	314.308	w
314.498	314.998	w
320.883	321.383	w
325.453	325.960	w
326.804	327.407	w
330.096	330.630	w
334.223	334.913	w
337.520	338.011	w
338.629	339.185	w
342.072	342.663	w
346.718	347.245	w
353.905	354.496	w
359.229	359.786	w
365.875	366.428	w
367.014	367.553	w
373.190	373.648	w
379.592	380.189	w
382.508	382.992	w
386.310	386.815	w
387.600	388.214	w
389.032	389.568	w
392.115	392.773	w
400.004	400.456	w
403.091	403.665	w
403.752	404.252	w
407.838	408.418	w
408.809	409.429	w
416.434	416.971	w
419.054	419.547	w
423.263	423.747	w
425.265	425.799	w
426.596	427.071	w
431.157	431.711	w
447.411	447.900	w
447.967	448.467	w
451.175	451.709	w
453.966	454.575	w
457.372	457.995	w
458.250	458.841	w
458.841	459.508	w
462.192	462.676	w
463.012	463.510	w
468.110	468.565	w
469.028	469.631	w
484.409	484.893	w
490.270	490.849	w
491.495	492.124	w
500.155	500.697	w
512.513	513.013	w
513.421	513.896	w
519.347	519.971	w
523.408	523.908	w
527.109	527.660	w
530.132	530.616	w
538.058	538.558	w
540.299	540.835	w
545.576	546.144	w
551.967	552.489	w
555.619	556.193	w
564.531	565.145	w
582.274	582.882	w
584.824	585.386	w
587.322	587.873	w
589.398	589.898	w
590.452	591.023	w
591.047	591.760	w
594.600	595.165	w
609.743	610.302	w
610.389	610.960	w
617.049	617.589	w
619.394	619.872	w
630.567	631.106	w
633.853	634.427	w
647.930	648.504	w
652.816	653.327	w
662.682	663.166	w
668.313	668.841	w
669.203	669.806	w
674.805	675.376	w
678.996	679.463	w
681.920	682.648	w
683.332	683.972	w
687.871	688.410	w
694.600	695.100	w
696.258	696.820	w
698.759	699.259	w
699.259	699.759	w
707.248	707.825	w
709.146	709.520	w
709.822	710.430	w
714.047	714.624	w
721.394	721.907	w
731.845	732.492	w
738.531	739.097	w
740.047	740.662	w
752.307	752.918	w
753.498	754.260	w
756.938	757.544	w
758.315	758.851	w
765.355	765.873	w
767.902	768.427	w
770.313	770.813	w
773.322	773.899	w
782.851	783.437	w
783.773	784.350	w
790.016	790.516	w
792.488	793.085	w
793.804	794.354	w
801.330	881.959	w
806.283	806.880	w
819.424	820.117	w
821.934	822.516	w
830.379	830.892	w
841.792	842.355	w
844.322	844.911	w
845.957	846.473	w
847.340	847.861	w
853.603	854.142	w
856.399	856.883	w
858.199	858.703	w
861.880	862.326	w
867.717	868.291	w
868.981	869.528	w
876.023	876.548	w
879.090	879.588	w
881.860	882.428	w
889.080	889.604	w
897.296	897.806	w
15.848	17.239	c
58.388	59.698	c
83.718	84.344	c
92.679	93.300	c
110.133	110.759	c
114.718	115.616	c
125.105	126.102	c
133.168	133.782	c
150.314	151.508	c
164.897	165.813	c
199.636	201.067	c
207.490	209.437	c
230.461	231.702	c
247.966	249.300	c
251.815	252.835	c
254.053	255.392	c
257.867	259.003	c
264.278	265.234	c
271.117	272.677	c
274.016	275.215	c
316.863	318.358	c
